Aika,kWh
2021-12-23 15:00:00,73
2021-12-23 16:00:00,78
2021-12-23 17:00:00,77
2021-12-23 18:00:00,76
2021-12-23 19:00:00,79
2021-12-23 20:00:00,75
2021-12-23 21:00:00,77
2021-12-23 22:00:00,77
2021-12-23 23:00:00,76
2021-12-24 00:00:00,91
2021-12-24 01:00:00,93
2021-12-24 02:00:00,100
2021-12-24 03:00:00,105
2021-12-24 04:00:00,99
2021-12-24 05:00:00,106
2021-12-24 06:00:00,101
2021-12-24 07:00:00,104
2021-12-24 08:00:00,117
2021-12-24 09:00:00,127
2021-12-24 10:00:00,119
2021-12-24 11:00:00,121
2021-12-24 12:00:00,114
2021-12-24 13:00:00,112
2021-12-24 14:00:00,116
2021-12-24 15:00:00,108
2021-12-24 16:00:00,120
2021-12-24 17:00:00,116
2021-12-24 18:00:00,124
2021-12-24 19:00:00,117
2021-12-24 20:00:00,122
2021-12-24 21:00:00,124
2021-12-24 22:00:00,123
2021-12-24 23:00:00,124
2021-12-25 00:00:00,128
2021-12-25 01:00:00,125
2021-12-25 02:00:00,128
2021-12-25 03:00:00,124
2021-12-25 04:00:00,126
2021-12-25 05:00:00,123
2021-12-25 06:00:00,120
2021-12-25 07:00:00,124
2021-12-25 08:00:00,120
2021-12-25 09:00:00,127
2021-12-25 10:00:00,116
2021-12-25 11:00:00,119
2021-12-25 12:00:00,109
2021-12-25 13:00:00,110
2021-12-25 14:00:00,105
2021-12-25 15:00:00,105
2021-12-25 16:00:00,97
2021-12-25 17:00:00,102
2021-12-25 18:00:00,99
2021-12-25 19:00:00,96
2021-12-25 20:00:00,103
2021-12-25 21:00:00,98
2021-12-25 22:00:00,104
2021-12-25 23:00:00,106
2021-12-26 00:00:00,114
2021-12-26 01:00:00,114
2021-12-26 02:00:00,120
2021-12-26 03:00:00,128
2021-12-26 04:00:00,127
2021-12-26 05:00:00,133
2021-12-26 06:00:00,133
2021-12-26 07:00:00,138
2021-12-26 08:00:00,134
2021-12-26 09:00:00,129
2021-12-26 10:00:00,136
2021-12-26 11:00:00,133
2021-12-26 12:00:00,129
2021-12-26 13:00:00,127
2021-12-26 14:00:00,112
2021-12-26 15:00:00,120
2021-12-26 16:00:00,112
2021-12-26 17:00:00,115
2021-12-26 18:00:00,116
2021-12-26 19:00:00,110
